rssi,snr,ax,ay,az,wx,wy,wz,mx,my,mz,temperature,p,time,timeOfWeek,timeOFWeekFracPart,gpsFix,ecefx,ecefy,ecefz,positionAcc3D,ecefvx,ecefvy,ecefvz,speedAcc,numbSat,drogueStatus
-80,26,-976.699,-70.5882,-211.765,-0.0154463,0.066579,-0.00905475,4684.67,-3290.48,-1698.31,27.5875,94092,276,592614600,-498586,3,391946478,-435477030,-251399767,211,0,-1,0,13,9,1
-80,25,-968.932,-90.1961,-211.765,-0.00798948,0.0633832,-0.0197074,4684.67,-3367.82,-1650.14,27.625,94110,276,592615000,-496951,3,391946474,-435477026,-251399764,208,1,1,0,12,9,1
-80,25,-976.699,-74.5098,-219.608,-0.0143811,0.0729706,-0.0207727,4647.3,-3290.48,-1553.81,27.625,94107,277,592615400,-495311,3,391946470,-435477022,-251399762,205,0,0,0,15,9,1
-80,25,-972.816,-86.2745,-219.608,-0.0154463,0.0729706,-0.0133158,4647.3,-3290.48,-1746.47,27.6187,94113,276,592615600,-494489,3,391946469,-435477021,-251399761,204,0,-1,0,12,9,1
-80,24,-976.699,-70.5882,-215.686,-0.00905475,0.0729706,-0.0111853,4572.55,-3329.15,-1650.14,27.6,94092,277,592616000,-492843,3,391946467,-435477019,-251399759,201,0,-1,0,13,9,1
-80,25,-980.583,-74.5098,-223.529,-0.00479369,0.0687096,-0.0122505,4609.93,-3367.82,-1650.14,27.6187,94104,276,592616200,-492018,3,391946466,-435477019,-251399759,200,0,-1,0,13,9,1
-80,25,-968.932,-74.5098,-223.529,-0.0165116,0.0687096,-0.0122505,4684.67,-3290.48,-1698.31,27.6,94107,276,592616400,-491193,3,391946466,-435477019,-251399760,199,1,0,-2,14,9,1
-80,27,-972.816,-78.4314,-223.529,-0.01012,0.0772317,-0.0239685,4684.67,-3290.48,-1601.98,27.625,94101,277,592616800,-489539,3,391946466,-435477018,-251399759,196,0,0,-1,17,9,1
-80,25,-984.466,-70.5882,-219.608,-0.00798948,0.0782969,-0.0111853,4684.67,-3367.82,-1698.31,27.6187,94101,276,592617000,-488713,3,391946466,-435477019,-251399759,195,1,-1,1,15,9,1
-80,24,-984.466,-74.5098,-219.608,-0.0175769,0.0591222,-0.0133158,4647.3,-3329.15,-1698.31,27.625,94101,277,592617400,-487060,3,391946467,-435477019,-251399760,192,1,-1,0,15,9,1
